name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,developer
Tna Impact!,Nintendo Wii,2008,Fighting,Midway Games,0.14,0.01,0.0,0.01,0.16,Unknown
Konami Krazy Racers,Game Boy Advance,2001,Racing,Konami Digital Entertainment,0.09,0.03,0.04,0.0,0.16,KCEK
Bioshock The Collection,Xbox One,2016,Shooter,Take Two Interactive,0.08,0.06,0.0,0.01,0.16,2K Games
Watchmen: The End Is Nigh - The Complete Experience,PlayStation 3,2009,Action,Warner Bros. Interactive Entertainment,0.08,0.06,0.0,0.02,0.16,Unknown
Solitaire Overload Plus,Nintendo DS,2010,Misc,Telegames,0.15,0.0,0.0,0.01,0.16,Telegames
Saturday Night Slam Masters,Super Nintendo Entertainment System,1994,Fighting,Capcom,0.0,0.0,0.16,0.0,0.16,Unknown
F-Zero: Gp Legend,Game Boy Advance,2003,Racing,Nintendo,0.11,0.04,0.0,0.0,0.16,Suzak
Racing Lagoon,PlayStation,1999,Racing,Square,0.0,0.0,0.15,0.01,0.16,Unknown
Mr. Driller 2,Game Boy Advance,2001,Puzzle,Namco Bandai Games,0.0,0.0,0.15,0.0,0.16,Namco
Klonoa,Nintendo Wii,2008,Platform,Namco Bandai Games,0.1,0.02,0.03,0.01,0.16,Paon Corporation
Bulletstorm,Personal Computer,2011,Shooter,Electronic Arts,0.07,0.07,0.0,0.02,0.16,"Epic Games, People Can Fly"
Putty Squad,PlayStation 4,2013,Platform,System 3,0.06,0.07,0.0,0.03,0.16,System 3
J-League Pro Soccer Club O Tsukurou! 6: Pride Of J,PlayStation Portable,2009,Sports,Sega,0.0,0.0,0.16,0.0,0.16,Unknown
Burger Island,Nintendo DS,2008,Action,Destineer,0.15,0.0,0.0,0.01,0.16,eGames
The Walking Dead: Season One,Xbox One,2014,Adventure,Telltale Games,0.08,0.06,0.0,0.01,0.16,Unknown
Field Commander,PlayStation Portable,2006,Strategy,Sony Online Entertainment,0.14,0.0,0.0,0.01,0.16,"Sony Online Entertainment, Mind Control Software"
Left Brain Right Brain: Use Both Hands Train Both Sides,Nintendo DS,2007,Misc,505 Games,0.15,0.0,0.0,0.01,0.16,Unknown
Around The World In 80 Days,Nintendo DS,2010,Action,Playv,0.0,0.14,0.0,0.02,0.16,Unknown
"Bcfx: The Black College Football Xperience, The Doug Williams Edition",Xbox 360,2009,Sports,Aspyr,0.15,0.0,0.0,0.01,0.16,Unknown
Custom Robo Arena,Nintendo DS,2006,Fighting,Nintendo,0.01,0.02,0.12,0.0,0.16,Noise Inc.
Ar Nosurge: Ode To An Unborn Star,PlayStation 3,2014,Role Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,Gust
Power Rangers Double Pack,Game Boy Advance,2005,Action,Thq,0.11,0.04,0.0,0.0,0.16,Unknown
Imagine: Ice Champions,Nintendo DS,2007,Sports,Spike,0.15,0.0,0.0,0.01,0.16,Digital Kids
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PlayStation,1998,Misc,Syscom,0.0,0.0,0.15,0.01,0.16,Unknown
Fifa Soccer 97,PlayStation,1996,Sports,Electronic Arts,0.09,0.06,0.0,0.01,0.16,Unknown
Transformer: Rise Of The Dark Spark,Xbox 360,2014,Action,Activision,0.09,0.06,0.0,0.01,0.16,Unknown
Shaun White Skateboarding,Xbox 360,2010,Sports,Ubisoft,0.1,0.05,0.0,0.01,0.16,Ubisoft Montreal
Dragon Ball: Origins 2,Nintendo DS,2010,Action,Namco Bandai Games,0.05,0.01,0.08,0.01,0.16,Game Republic
Psychic Force,PlayStation,1996,Fighting,Acclaim Entertainment,0.01,0.01,0.13,0.01,0.16,Unknown
Trigger Man,PlayStation 2,2004,Shooter,Play It,0.08,0.06,0.0,0.02,0.16,Point of View
Starblade Α,PlayStation,1995,Shooter,Sony Computer Entertainment,0.0,0.0,0.15,0.01,0.16,Unknown
Kidou Senshi Gundam: Giren No Yabou - Axis No Kyoui,PlayStation Portable,2008,Strategy,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,Unknown
Wildstar,Personal Computer,2014,Role Playing,Ncsoft,0.08,0.07,0.0,0.01,0.16,Carbine Studios
Family Party: 30 Great Games Outdoor Fun,Nintendo Wii,2009,Misc,D3Publisher,0.14,0.01,0.0,0.01,0.16,Tamsoft
Tiger Woods Pga Tour 2004,GameCube,2003,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.16,EA Sports
Rudolph The Red-Nosed Reindeer,Nintendo DS,2010,Action,Crave Entertainment,0.15,0.0,0.0,0.01,0.16,Crave
Spider-Man: Web Of Shadows - Amazing Allies Edition,PlayStation Portable,2008,Action,Activision,0.12,0.02,0.0,0.02,0.16,Unknown
Culdcept,Nintendo 3DS,2012,Misc,Nintendo,0.0,0.0,0.16,0.0,0.16,Unknown
Amped 3,Xbox 360,2005,Sports,Take Two Interactive,0.13,0.02,0.0,0.01,0.16,2K Sports
Mx 2002 Featuring Ricky Carmichael,Game Boy Advance,2001,Racing,Thq,0.11,0.04,0.0,0.0,0.16,Unknown
Innocent Life: A Futuristic Harvest Moon,PlayStation Portable,2006,Simulation,Rising Star Games,0.08,0.03,0.03,0.02,0.16,ArtePiazza
Halo Triple Pack,Xbox,2005,Shooter,Microsoft Game Studios,0.12,0.03,0.0,0.01,0.16,Unknown
Street Racer,PlayStation,1996,Racing,Ubisoft,0.09,0.06,0.0,0.01,0.16,Unknown
Bomberman Land Touch! 2,Nintendo DS,2007,Puzzle,Rising Star Games,0.13,0.0,0.01,0.01,0.16,Unknown
Nba 2K3,GameCube,2002,Sports,Sega,0.12,0.03,0.0,0.0,0.16,Visual Concepts
Harvest Moon: The Lost Valley,Nintendo 3DS,2014,Simulation,Natsume,0.13,0.01,0.0,0.02,0.16,Unknown
Nhl 2005,Xbox,2004,Sports,Electronic Arts,0.12,0.03,0.0,0.01,0.16,EA Sports
Arcana Heart,PlayStation 2,2007,Fighting,Aq Interactive,0.06,0.05,0.04,0.02,0.16,Examu
World Soccer Winning Eleven 2010: Aoki Samurai No Chousen,PlayStation Portable,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16,Unknown
Battlestar Galactica,PlayStation 2,2003,Shooter,Vivendi Games,0.08,0.06,0.0,0.02,0.16,Warthog
Time Hollow,Nintendo DS,2008,Adventure,Konami Digital Entertainment,0.03,0.01,0.11,0.0,0.16,Tenky
Medieval Games,Nintendo Wii,2009,Action,Vir2L Studios,0.14,0.01,0.0,0.01,0.16,N-Fusion Interactive Entertainment Corp.
Kingdom Hearts: Birth By Sleep - Final Mix,PlayStation Portable,2011,Role Playing,Square Enix,0.0,0.0,0.16,0.0,0.16,Unknown
Tak And The Guardians Of Gross,Nintendo Wii,2008,Action,Thq,0.14,0.0,0.0,0.01,0.16,THQ
Yu-Gi-Oh! 5D'S: Duel Transer,Nintendo Wii,2010,Strategy,Konami Digital Entertainment,0.11,0.02,0.02,0.01,0.16,Unknown
Toriko: Gourmet Monsters!,Nintendo 3DS,2012,Role Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,Unknown
Akiba'S Trip: Undead & Undressed,PlayStation Vita,2013,Action,Nippon Ichi Software,0.04,0.02,0.08,0.01,0.16,Unknown
The Incredible Hulk: The Pantheon Saga,PlayStation,1996,Action,Eidos Interactive,0.09,0.06,0.0,0.01,0.16,Unknown
The Idolm@Ster 2,PlayStation 3,2011,Misc,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,Unknown
Monster House,Nintendo DS,2006,Adventure,Thq,0.14,0.0,0.0,0.01,0.16,Artificial Mind and Movement
Dynasty Warriors 8: Xtreme Legends,PlayStation 3,2013,Action,Tecmo Koei,0.02,0.02,0.11,0.01,0.16,Omega Force
Godzilla Unleashed,Nintendo Wii,2007,Fighting,Atari,0.14,0.0,0.0,0.01,0.16,"Pipeworks Software, Inc."
Ac & Dc Live: Rock Band Track Pack,PlayStation 2,2008,Misc,Mtv Games,0.08,0.06,0.0,0.02,0.16,Harmonix Music Systems
Senran Kagura: Sh?Jo-Tachi No Shinei,Nintendo 3DS,2011,Action,Marvelous Interactive,0.0,0.0,0.16,0.0,0.16,Unknown
Ener-G Horse Riders,Nintendo DS,2008,Sports,Ubisoft,0.14,0.01,0.0,0.01,0.16,Lexis Numerique
He-Man: Power Of Grayskull,Game Boy Advance,2002,Action,Tdk Mediactive,0.11,0.04,0.0,0.0,0.16,Taniko
Sherlock Holmes Vs. Jack The Ripper,Xbox 360,2009,Adventure,Focus Home Interactive,0.11,0.03,0.0,0.01,0.16,Frogwares
Sniper: Ghost Warrior,Personal Computer,2010,Shooter,City Interactive,0.0,0.13,0.0,0.03,0.16,City Interactive
Rondo Of Swords (Us Sales),Nintendo DS,2007,Role Playing,Success,0.16,0.0,0.0,0.0,0.16,Unknown
Polaris Snocross,PlayStation,2000,Racing,Vatical Entertainment,0.09,0.06,0.0,0.01,0.16,Vicarious Visions
Wing Commander Iii: Heart Of The Tiger,PlayStation,1996,Action,Electronic Arts,0.09,0.06,0.0,0.01,0.16,Unknown
Imagine: Music Fest,Nintendo DS,2009,Simulation,Ubisoft,0.14,0.0,0.0,0.01,0.16,Ubisoft
Mat Hoffman'S Pro Bmx 2,Game Boy Advance,2002,Sports,Activision,0.11,0.04,0.0,0.0,0.16,HotGen
Fist Of The North Star: Ken'S Rage,Xbox 360,2010,Action,Ubisoft Annecy,0.07,0.02,0.06,0.01,0.16,Koei
Chaotic: Shadow Warriors,Xbox 360,2009,Action,Activision,0.14,0.0,0.0,0.01,0.16,FUN Labs
Muppet Racemania,PlayStation,1999,Racing,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.15,Unknown
Namco Museum Vol.5,PlayStation,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.12,0.01,0.15,Unknown
Courier Crisis,PlayStation,1997,Racing,Bmg Interactive Entertainment,0.09,0.06,0.0,0.01,0.15,Unknown
Digimon Battle Spirit 2,Game Boy Advance,2003,Fighting,Namco Bandai Games,0.11,0.04,0.0,0.0,0.15,Dimps Corporation
Winning Post 3,PlayStation,1998,Racing,Tecmo Koei,0.0,0.0,0.14,0.01,0.15,Unknown
Just Sing!,Nintendo DS,2009,Misc,Dtp Entertainment,0.14,0.0,0.0,0.01,0.15,Unknown
Driven,PlayStation 2,2001,Racing,Bam! Entertainment,0.08,0.06,0.0,0.02,0.15,Bam Entertainment
James Noir'S Hollywood Crimes,Nintendo 3DS,2011,Adventure,Ubisoft,0.07,0.07,0.0,0.01,0.15,Ubisoft
"Warhammer 40,000: Fire Warrior",PlayStation 2,2003,Shooter,Thq,0.08,0.06,0.0,0.02,0.15,Kuju Entertainment
All-Pro Football 2K8,PlayStation 3,2007,Sports,Take Two Interactive,0.14,0.0,0.0,0.01,0.15,Visual Concepts
Lufia: Curse Of The Sinistrals,Nintendo DS,2010,Role Playing,Square Enix,0.11,0.0,0.03,0.01,0.15,Neverland
Mtv Music Generator 2,PlayStation 2,2001,Misc,Codemasters,0.08,0.06,0.0,0.02,0.15,Jester Interactive
Mugen Souls,PlayStation 3,2012,Role Playing,Nippon Ichi Software,0.04,0.02,0.08,0.01,0.15,"Compile Heart, GCREST"
Ultimate Spider-Man,Nintendo DS,2005,Action,Activision,0.14,0.0,0.0,0.01,0.15,Vicarious Visions
Major League Baseball 2K13,PlayStation 3,2013,Sports,Take Two Interactive,0.14,0.0,0.0,0.02,0.15,Unknown
Saw Ii: Flesh & Blood,Xbox 360,2010,Action,Konami Digital Entertainment,0.1,0.04,0.0,0.01,0.15,Unknown
Burnout 2: Point Of Impact,GameCube,2003,Racing,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,Criterion Games
Paris-Dakar Rally,PlayStation 2,2001,Racing,Acclaim Entertainment,0.08,0.06,0.0,0.02,0.15,Broadsword Interactive
Bakugan Battle Brawlers: Defenders Of The Core,PlayStation Portable,2010,Action,Activision,0.09,0.04,0.0,0.03,0.15,Now Production
Motionsports: Adrenaline,PlayStation 3,2011,Sports,Ubisoft,0.08,0.05,0.0,0.02,0.15,Ubisoft Vancouver
Atelier Iris: Eternal Mana,PlayStation 2,2004,Role Playing,Tecmo Koei,0.08,0.06,0.0,0.02,0.15,Gust
Blinx 2: Masters Of Time & Space,Xbox,2004,Platform,Microsoft Game Studios,0.12,0.03,0.0,0.01,0.15,Unknown
F.E.A.R. 3,Personal Computer,2011,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0.0,0.03,0.15,Day 1 Studios
Chessmaster: The Art Of Learning,Nintendo DS,2007,Misc,Ubisoft,0.12,0.03,0.0,0.01,0.15,Ubisoft
My Baby 3 & Friends,Nintendo DS,2010,Simulation,Majesco Entertainment,0.12,0.02,0.0,0.01,0.15,Unknown
Tak: The Great Juju Challenge,GameCube,2005,Platform,Thq,0.12,0.03,0.0,0.0,0.15,Avalanche Software
Fantasia: Music Evolved,Xbox One,2014,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15,Harmonix Music Systems
Dragon Ball Z: Harukanaru Densetsu (Jp Sales),Nintendo DS,2007,Role Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Unknown
Knockout Kings 2003,GameCube,2002,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.15,EA Sports
Bomberman,PlayStation Portable,2006,Puzzle,Konami Digital Entertainment,0.14,0.0,0.0,0.01,0.15,Hudson
Ncaa Football 2004,GameCube,2003,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.15,EA Sports
Xgiii: Extreme G Racing,GameCube,2001,Racing,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,Acclaim
Digimon World 4,PlayStation 2,2005,Role Playing,Atari,0.08,0.06,0.0,0.02,0.15,Bandai
Stormrise,Xbox 360,2009,Strategy,Sega,0.11,0.03,0.0,0.01,0.15,Creative Assembly
Scripps Spelling Bee,Nintendo DS,2010,Simulation,Thq,0.14,0.0,0.0,0.01,0.15,THQ
Major League Baseball 2K11,Nintendo Wii,2011,Sports,Take Two Interactive,0.14,0.0,0.0,0.01,0.15,Visual Concepts
"Go, Diego, Go! Safari Rescue",Nintendo DS,2007,Adventure,Take Two Interactive,0.14,0.01,0.0,0.01,0.15,Unknown
Disney'S Story Studio: Disney'S Mulan,PlayStation,1999,Misc,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.15,Unknown
Pressure Cooker,Atari 2600,1982,Action,Activision,0.14,0.01,0.0,0.0,0.15,Unknown
Klax,Atari 2600,1989,Puzzle,Atari,0.14,0.01,0.0,0.0,0.15,Unknown
Saturn Bomberman,Sega Saturn,1996,Puzzle,Sega,0.0,0.0,0.15,0.0,0.15,Unknown
The Godfather: Blackhand Edition,Nintendo Wii,2007,Adventure,Electronic Arts,0.14,0.0,0.0,0.01,0.15,EA Redwood Shores
Wolfenstein: The Old Blood,Xbox One,2015,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,MachineGames
Jikkyou Powerful Pro Yakyuu Portable,PlayStation Portable,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,Unknown
Dragon'S Lair Trilogy,Nintendo Wii,2010,Adventure,Destineer,0.14,0.0,0.0,0.01,0.15,Unknown
Naruto: Powerful Shippuden,Nintendo 3DS,2012,Platform,Namco Bandai Games,0.08,0.02,0.04,0.01,0.15,Inti Creates
American Chopper,Xbox,2004,Racing,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15,Creat Studios
The Adventures Of Tintin: The Game,Nintendo 3DS,2011,Action,Ubisoft,0.05,0.09,0.0,0.02,0.15,Ubisoft Montpellier
Dynasty Warriors 8,Xbox 360,2013,Action,Tecmo Koei,0.09,0.05,0.0,0.01,0.15,Omega Force
Bust-A-Move Bash!,Nintendo Wii,2007,Puzzle,505 Games,0.13,0.01,0.0,0.01,0.15,Unknown
Kingdom Under Fire: Heroes,Xbox,2005,Strategy,Deep Silver,0.11,0.03,0.0,0.01,0.15,Phantagram
The Terminator: Dawn Of Fate,Xbox,2002,Action,Atari,0.11,0.03,0.0,0.01,0.15,Paradigm Entertainment
Infected,PlayStation Portable,2005,Shooter,Thq,0.14,0.0,0.0,0.01,0.15,Planet Moon Studios
Doctor Who: Evacuation Earth,Nintendo DS,2010,Adventure,Asylum Entertainment,0.0,0.13,0.0,0.02,0.15,Unknown
Birds Of Steel,Xbox 360,2012,Simulation,Konami Digital Entertainment,0.11,0.03,0.0,0.01,0.15,Gaijin Entertainment
Cars: Race-O-Rama,Xbox 360,2009,Racing,Thq,0.14,0.01,0.0,0.01,0.15,Incinerator Games
Scooby-Doo! Unmasked,GameCube,2005,Platform,Thq,0.12,0.03,0.0,0.0,0.15,Unknown
Theatrhythm Dragon Quest,Nintendo 3DS,2015,Misc,Square Enix,0.0,0.0,0.15,0.0,0.15,Unknown
Streak: Hoverboard Racing,PlayStation,1998,Racing,Gt Interactive,0.09,0.06,0.0,0.01,0.15,Unknown
Nba Street Homecourt,PlayStation 3,2007,Sports,Electronic Arts,0.12,0.01,0.0,0.02,0.15,EA Canada
Darksiders Ii,Personal Computer,2012,Action,Nordic Games,0.03,0.1,0.0,0.02,0.15,Vigil Games
Enthusia Professional Racing,PlayStation 2,2005,Racing,Konami Digital Entertainment,0.07,0.06,0.0,0.02,0.15,Konami
Dirt 3,Personal Computer,2011,Racing,Codemasters,0.0,0.13,0.0,0.03,0.15,Codemasters
Ncaa Gamebreaker 2001,PlayStation 2,2000,Sports,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,989 Sports
Disgaea 4: A Promise Unforgotten,PlayStation Vita,2014,Role Playing,Nippon Ichi Software,0.03,0.03,0.08,0.02,0.15,Unknown
Get On Da Mic,PlayStation 2,2004,Misc,Eidos Interactive,0.07,0.06,0.0,0.02,0.15,Artificial Mind and Movement
Darksiders Ii,Nintendo Wii U,2012,Action,Thq,0.07,0.07,0.0,0.01,0.15,Vigil Games
Gunslingers,Nintendo Wii,2010,Shooter,Neko Entertainment,0.07,0.06,0.0,0.02,0.15,Neko Entertainment
Army Men: Sarge'S War,GameCube,2004,Shooter,Global Star,0.12,0.03,0.0,0.0,0.15,3DO
Amagami,PlayStation Portable,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.15,0.0,0.15,Unknown
Jikkyou Powerful Pro Yakyuu 2009,PlayStation 2,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,Unknown
Block Party,Nintendo Wii,2008,Misc,Activision,0.14,0.0,0.0,0.01,0.15,Activision
Little League World Series Baseball 2009,Nintendo Wii,2009,Sports,Activision,0.14,0.0,0.0,0.01,0.15,Now Production
Kidou Senkan Nadesico,Sega Saturn,1997,Strategy,Sega,0.0,0.0,0.15,0.0,0.15,Unknown
Blitz: The League Ii,PlayStation 3,2008,Sports,Midway Games,0.11,0.02,0.0,0.02,0.15,Unknown
Arcade Zone,Nintendo Wii,2009,Misc,Activision,0.14,0.0,0.0,0.01,0.15,Activision
Project Sylpheed: Arc Of Deception,Xbox 360,2006,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01,0.15,"Game Arts, Seta Corporation"
Bigfoot: Collision Course,Nintendo DS,2009,Racing,Zoo Digital Publishing,0.14,0.0,0.0,0.01,0.15,Destination Software
Frogger'S Adventures: The Rescue,GameCube,2003,Platform,Konami Digital Entertainment,0.12,0.03,0.0,0.0,0.15,Konami
Nhl 2K10,PlayStation 3,2009,Sports,Take Two Interactive,0.13,0.01,0.0,0.01,0.15,Take-Two Interactive
Family Party: Fitness Fun,Nintendo Wii,2010,Sports,D3Publisher,0.14,0.0,0.0,0.01,0.15,Tamsoft
The Secret Saturdays: Beasts Of The 5Th Sun,PlayStation 2,2009,Action,D3Publisher,0.05,0.02,0.0,0.08,0.15,High Voltage Software
Michael Jackson: The Experience,PlayStation Portable,2010,Misc,Ubisoft,0.11,0.03,0.0,0.02,0.15,Ubisoft
Mlb Power Pros 2008,PlayStation 2,2008,Sports,Konami Digital Entertainment,0.05,0.04,0.05,0.01,0.15,Konami
Sonny With A Chance,Nintendo DS,2010,Action,Disney Interactive Studios,0.12,0.02,0.0,0.01,0.15,Altron
The Fairly Odd Parents: Clash With The Anti-World,Game Boy Advance,2005,Adventure,Thq,0.11,0.04,0.0,0.0,0.15,Unknown
Wordjong,Nintendo DS,2007,Puzzle,White Park Bay Software,0.13,0.01,0.0,0.01,0.15,Magellan Interactive
Tears To Tiara Ii: Heir Of The Overlord,PlayStation 3,2013,Role Playing,Nippon Ichi Software,0.07,0.01,0.06,0.02,0.15,Aqua Plus
Puzzle Quest: Galactrix,Nintendo DS,2009,Puzzle,D3Publisher,0.14,0.0,0.0,0.01,0.15,Infinite Interactive
The Amazing Spider-Man (Console Version),Nintendo Wii,2012,Action,Activision,0.1,0.04,0.0,0.01,0.15,Unknown
De Blob 2,Xbox 360,2011,Platform,Thq,0.1,0.04,0.0,0.01,0.15,Blue Tongue Entertainment
Disney'S The Lion King: Simba'S Mighty Adventure,PlayStation,2000,Action,Activision,0.08,0.06,0.0,0.01,0.15,Paradox Development
Gundam Breaker 2,PlayStation Vita,2014,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Unknown
Major League Baseball 2K10,Nintendo DS,2010,Sports,Take Two Interactive,0.14,0.0,0.0,0.01,0.15,Powerhead Games
Samurai Warriors: Katana,Nintendo Wii,2007,Action,Tecmo Koei,0.11,0.0,0.04,0.01,0.15,"Koei, Omega Force"
Nba 09: The Inside,PlayStation 3,2008,Sports,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,SCEA San Diego Studios
Jikkyou Powerful Pro Yakyuu 2012,PlayStation Portable,2012,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,Unknown
Kingdom Of Paradise,PlayStation Portable,2005,Role Playing,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,Climax Entertainment
All Japan Pro Wrestling Featuring Virtua,Sega Saturn,1997,Fighting,Sega,0.0,0.0,0.15,0.0,0.15,Unknown
Naruto Shippuden: Legends: Akatsuki Rising,PlayStation Portable,2009,Fighting,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,Racjin
Marvel Super Hero Squad: The Infinity Gauntlet,Xbox 360,2010,Action,Thq,0.12,0.02,0.0,0.01,0.15,THQ
Rudra No Hihou,Super Nintendo Entertainment System,1996,Role Playing,Squaresoft,0.0,0.0,0.15,0.0,0.15,Unknown
Bleach: Dark Souls,Nintendo DS,2007,Fighting,Sega,0.12,0.02,0.0,0.01,0.15,Treasure
Hot Wheels: Battle Force 5,Nintendo DS,2009,Racing,Activision,0.12,0.02,0.0,0.01,0.15,Virtuos
Prince Of Persia: The Sands Of Time,Game Boy Advance,2003,Action,Ubisoft,0.11,0.04,0.0,0.0,0.15,Ubisoft Montreal
Zoids: Battle Legends,GameCube,2003,Action,Tomy Corporation,0.12,0.03,0.0,0.0,0.15,Tomy Corporation
Ice Age 2: The Meltdown,Nintendo DS,2006,Platform,Vivendi Games,0.13,0.01,0.0,0.01,0.15,Amaze Entertainment
Prince Of Persia: The Forgotten Sands,Nintendo DS,2010,Action,Ubisoft,0.14,0.01,0.0,0.01,0.15,Ubisoft Casablanca
World Series Baseball 2K3,Xbox,2003,Sports,Sega,0.11,0.03,0.0,0.01,0.15,Blue Shift
Tokyo Xanadu,PlayStation Vita,2015,Role Playing,Nihon Falcom Corporation,0.0,0.0,0.15,0.0,0.15,Unknown
Serious Sam,Xbox,2002,Shooter,Take Two Interactive,0.11,0.03,0.0,0.01,0.15,Croteam
Bomberman,Nintendo DS,2005,Puzzle,Ubisoft,0.1,0.01,0.03,0.01,0.15,Racjin
Kowloon'S Gate,PlayStation,1997,Adventure,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15,Unknown
Killer7,GameCube,2005,Action,Capcom,0.12,0.03,0.0,0.0,0.15,Grasshopper Manufacture
Super Monkey Ball Adventure,GameCube,2006,Platform,Sega,0.12,0.03,0.0,0.0,0.15,TT Games
Fifa Soccer 2002,PlayStation,2001,Sports,Electronic Arts,0.08,0.06,0.0,0.01,0.15,EA Sports
Street Fighter Anniversary Collection,Xbox,2004,Fighting,Capcom,0.11,0.03,0.0,0.01,0.15,Capcom
3Rd Super Robot Wars Z: Tengoku-Hen,PlayStation 3,2015,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Unknown
Suzumiya Haruhi No Yakusoku,PlayStation Portable,2007,Adventure,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Unknown
Shadow Ops: Red Mercury,Xbox,2004,Shooter,Atari,0.11,0.03,0.0,0.01,0.15,Zombie
Indigo Prophecy,PlayStation 2,2005,Adventure,Atari,0.07,0.06,0.0,0.02,0.15,Quantic Dream
Fifa 06: Road To Fifa World Cup,Xbox 360,2005,Sports,Electronic Arts,0.11,0.02,0.01,0.01,0.15,EA Canada
World League Soccer,Super Nintendo Entertainment System,1991,Sports,Imagineer,0.0,0.0,0.15,0.0,0.15,Unknown
Nba Shootout 2001,PlayStation 2,2001,Sports,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,989 Sports
Final Fantasy Xi: Vana'Diel Collection 2008,Xbox 360,2007,Role Playing,Square Enix,0.13,0.0,0.01,0.01,0.15,Square Enix
Farm Frenzy: Animal Country,Nintendo DS,2009,Simulation,City Interactive,0.13,0.01,0.0,0.01,0.15,City Interactive
We Sing Uk Hits,Nintendo Wii,2011,Misc,Nordic Games,0.0,0.13,0.0,0.02,0.15,Le Cortex
Samurai Shodown Anthology,PlayStation 2,2008,Fighting,Ignition Entertainment,0.07,0.06,0.0,0.02,0.15,SNK Playmore
Musashi: Samurai Legend,PlayStation 2,2005,Role Playing,Atari,0.07,0.06,0.0,0.02,0.15,Square Enix
Build-A-Bear Workshop: Welcome To Hugsville,Nintendo DS,2010,Misc,Game Factory,0.14,0.0,0.0,0.01,0.15,The Game Factory
Lego The Hobbit,PlayStation Vita,2014,Action,Warner Bros. Interactive Entertainment,0.02,0.09,0.0,0.03,0.15,TT Games
The Oregon Trail,Nintendo Wii,2011,Simulation,Crave Entertainment,0.14,0.0,0.0,0.01,0.15,Unknown
Oreshika: Tainted Bloodlines,PlayStation Vita,2014,Role Playing,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15,Alfa System
Adventure Time: Explore The Dungeon Because I Don'T Know!,Nintendo 3DS,2013,Action,D3Publisher,0.1,0.03,0.0,0.01,0.15,Unknown
F1 2001,PlayStation 2,2001,Racing,Electronic Arts,0.07,0.06,0.0,0.02,0.15,EA Sports
Darksiders,Personal Computer,2010,Action,Thq,0.07,0.06,0.0,0.02,0.15,Vigil Games
J-League Victory Goal,Sega Saturn,1995,Sports,Sega,0.0,0.0,0.15,0.0,0.15,Unknown
Top Gun: Combat Zones,GameCube,2002,Simulation,Titus,0.12,0.03,0.0,0.0,0.15,Titus Software
Countdown: The Game,Nintendo DS,2009,Puzzle,Mindscape,0.0,0.14,0.0,0.01,0.15,Unknown
Spongebob Squarepants  &  Fairly Odd Parents Double Pack,Game Boy Advance,2005,Action,Thq,0.11,0.04,0.0,0.0,0.15,Unknown
Pro Baseball Spirits 2015,PlayStation 3,2015,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,Unknown
Nhl 09,PlayStation 2,2008,Sports,Electronic Arts,0.07,0.06,0.0,0.02,0.15,EA Canada
History Civil War: Secret Missions,PlayStation 2,2008,Shooter,Activision,0.07,0.06,0.0,0.02,0.15,Unknown
Fantastic Four: Rise Of The Silver Surfer,PlayStation 3,2007,Action,Take Two Interactive,0.12,0.02,0.0,0.02,0.15,Visual Concepts
Dark Rift,Nintendo 64,1997,Fighting,Vic Tokai,0.12,0.03,0.0,0.0,0.15,Unknown
