name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,developer
Uncharted 3: Drake'S Deception,PlayStation 3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,Naughty Dog
Zumba Fitness,Nintendo Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,"Pipeworks Software, Inc."
Call Of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,Infinity Ward
Uncharted 2: Among Thieves,PlayStation 3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,Naughty Dog
Fifa 12,PlayStation 3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,Unknown
Big Brain Academy,Nintendo DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,Nintendo
The Legend Of Zelda,Nintendo Entertainment System,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,Unknown
Red Dead Redemption,PlayStation 3,2010,Action,Take Two Interactive,2.79,2.53,0.17,0.99,6.49,Rockstar San Diego
Fifa 14,PlayStation 3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,EA Canada
Assassin'S Creed Iii,PlayStation 3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,Ubisoft
Donkey Kong Country Returns,Nintendo Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,Retro Studios
Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,Bungie Software
The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,Bethesda Game Studios
Pokémon Emerald Version,Game Boy Advance,2004,Role Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,Game Freak
Kingdom Hearts,PlayStation 2,2002,Role Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,SquareSoft
Pokémon Crystal Version,Game Boy,2000,Role Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,Unknown
Halo 3: Odst,Xbox 360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,"Bungie Software, Bungie"
Red Dead Redemption,Xbox 360,2010,Action,Take Two Interactive,3.7,1.95,0.09,0.58,6.32,Rockstar San Diego
Super Mario Sunshine,GameCube,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,Nintendo
Street Fighter Ii: The World Warrior,Super Nintendo Entertainment System,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,Unknown
World Of Warcraft,Personal Computer,2004,Role Playing,Activision,0.08,6.21,0.0,0.0,6.29,Blizzard Entertainment
Driver,PlayStation,1999,Action,Gt Interactive,3.11,2.8,0.02,0.33,6.27,Reflections Interactive
